building,name,area,perim,shape,sample,vertices
yes,teresa,314.38735,84.36332,0.55509,78,9
yes,andy,195.80495,65.50283,0.57347,7,9
yes,ashley,206.98245,62.36501,0.66875,26,9
yes,martha,227.01856,79.94115,0.44641,,9
yes,iqrha,277.94706,86.82712,0.4633,1,11
yes,venkana,161.67792,55.45852,0.66058,,9
yes,kelvin,327.68089,91.70628,0.48962,71,15
yes,ranjith,219.72937,62.32291,0.71089,,7
yes,bhojaraj,227.76523,60.41636,0.78413,14,5
yes,manohar,310.00595,79.68524,0.61351,,11
yes,ruben,205.61027,78.45624,0.41976,41,11
yes,venkana,247.62664,73.17209,0.58119,12,13
yes,bhojaraj,174.17689,56.6002,0.68323,3,7
yes,ranjith,247.09693,67.09124,0.68983,62,7
yes,richman,21.39138,19.10645,0.73636,,5
yes,richman,353.78333,78.08037,0.72923,,7
yes,venkana,218.27266,65.44642,0.64038,59,9
yes,teresa,272.79645,86.92942,0.45364,,11
yes,bhojaraj,199.4904,60.89612,0.67601,63,9
yes,kelvin,280.21524,71.05955,0.69736,77,11
yes,martha,174.87848,62.507,0.56246,19,15
yes,iqrha,217.943,67.4845,0.60137,7,11
yes,bhavana,291.0969,72.70497,0.69202,61,7
yes,kelvin,166.26219,55.39444,0.68088,52,9
yes,ashley,216.72579,64.51863,0.65426,12,9
yes,andy,229.83618,69.02425,0.60621,57,11
yes,manohar,264.47883,65.18545,0.78217,76,6
yes,ruben,13.05404,14.69378,0.75978,,5
yes,bhavana,157.94176,59.82983,0.55446,19,13
yes,bhojaraj,252.91531,81.84869,0.47442,78,11
yes,ashley,250.25548,66.5592,0.70987,23,9
yes,richman,284.6699,70.0999,0.72797,23,7
yes,iqrha,168.76142,55.93809,0.67775,,7
yes,venkana,127.11134,47.2789,0.71459,60,7
yes,teresa,153.0081,55.60254,0.62192,37,7
yes,bhojaraj,272.52314,72.89281,0.64453,56,7
yes,kelvin,202.87436,65.3322,0.59729,,13
yes,martha,204.07185,68.22238,0.55098,7,11
yes,ruben,225.35898,80.32502,0.43892,,9
yes,venkana,180.07981,59.71236,0.63467,,7
yes,teesta,296.27005,75.25883,0.65733,2,23
yes,ranjith,255.4399,67.56772,0.7031,64,7
yes,andy,179.57263,54.91217,0.74836,40,7
yes,manohar,241.39124,64.56266,0.72773,43,7
yes,ruben,229.43326,73.49887,0.53371,,12
yes,bhavana,215.24654,63.63927,0.66788,59,11
yes,bhojaraj,244.09052,66.48566,0.69391,75,7
yes,ranjith,187.61412,54.93748,0.78116,40,5
yes,martha,272.39071,75.97836,0.59296,,15
yes,iqrha,251.5375,68.16089,0.68036,,9
yes,venkana,208.10387,57.71726,0.78502,5,5
yes,ranjith,240.51496,71.57559,0.58996,,9
yes,andy,215.5283,67.25848,0.59871,,11
yes,ashley,155.34109,56.14537,0.61925,37,9
yes,martha,228.40764,67.43219,0.63123,,11
yes,ruben,123.09623,46.22641,0.72389,,8
yes,bhavana,229.0078,69.84573,0.5899,47,17
yes,teesta,163.90102,56.21175,0.65183,52,11
yes,ashley,243.34667,78.00527,0.50256,30,11
yes,bhojaraj,208.68711,59.27073,0.74649,,7
yes,richman,47.95591,31.04897,0.62511,,5
yes,ruben,1.49052,10.17098,0.18106,,5
yes,teresa,183.35388,60.1375,0.6371,,7
yes,bhojaraj,164.98581,53.54921,0.72302,53,7
yes,ashley,198.63102,67.88413,0.54165,7,15
yes,richman,220.0055,66.30389,0.62888,62,13
yes,iqrha,285.05592,71.73399,0.69613,,7
yes,bhavana,246.09667,65.05579,0.73071,9,7
yes,ranjith,257.44887,67.45362,0.71103,23,9
yes,andy,167.48786,56.1114,0.66848,52,11
yes,kelvin,125.49685,48.4798,0.671,10,9
yes,manohar,343.19471,83.91718,0.61242,,11
yes,ruben,196.31776,60.59806,0.67182,73,7
yes,venkana,233.03981,66.15672,0.6691,38,9
yes,teesta,218.32901,67.09296,0.60949,,9
yes,ranjith,193.30854,55.66461,0.78397,42,5
yes,richman,185.03318,60.54405,0.63433,,11
yes,richman,349.14553,82.13224,0.65041,,13
yes,ruben,129.02169,52.26223,0.5936,69,9
yes,teresa,169.01219,55.74972,0.68335,34,9
yes,andy,217.32876,66.9927,0.60852,44,11
yes,ranjith,310.45396,74.54731,0.70201,,7
yes,martha,196.14306,57.7599,0.7388,40,9
yes,iqrha,213.78701,78.21705,0.43912,,9
yes,venkana,204.1761,61.50683,0.67822,63,11
yes,kelvin,254.83411,67.82544,0.69612,23,11
yes,ranjith,331.39452,88.97135,0.52608,,13
yes,bhojaraj,199.69327,74.27957,0.45481,68,11
yes,richman,142.1828,49.97448,0.71542,,11
yes,ruben,154.4789,56.9768,0.59797,31,9
yes,bhavana,299.77799,73.87739,0.69022,,7
yes,bhojaraj,248.60717,64.54517,0.74989,,7
yes,ashley,170.2773,56.82028,0.66276,11,9
yes,richman,233.41737,64.64871,0.70182,58,7
yes,richman,358.57611,78.14874,0.73781,,7
yes,venkana,121.27887,45.90609,0.72319,24,7
yes,teresa,182.13103,63.88704,0.56075,19,13
yes,andy,159.1646,53.49149,0.69902,59,9
yes,ashley,152.25016,51.79125,0.71327,53,7
yes,martha,244.40891,76.11579,0.53012,,33
yes,iqrha,160.59877,56.72952,0.6271,35,7
yes,bhavana,195.18225,66.11843,0.56105,16,15
yes,kelvin,177.18611,57.94579,0.66312,,11
yes,ranjith,225.11948,61.84685,0.73958,50,9
yes,bhojaraj,307.2954,80.07551,0.60224,,11
yes,richman,235.13612,70.28174,0.5982,12,13
yes,ruben,57.25406,37.29702,0.51721,,6
yes,bhavana,226.14509,63.77954,0.69861,40,7
yes,bhojaraj,173.13719,59.03139,0.62436,,7
yes,ranjith,155.05933,54.88,0.64696,36,7
yes,richman,232.87076,66.88393,0.65416,51,11
yes,iqrha,257.71372,71.37096,0.63578,74,9
yes,venkana,169.31931,56.57907,0.66467,34,11
yes,teresa,218.18531,63.75487,0.67454,40,9
yes,andy,196.59952,66.11302,0.56522,51,15
yes,ashley,244.67377,69.95586,0.62827,44,17
yes,richman,12.70747,14.36739,0.77359,,5
yes,ruben,193.97631,61.34942,0.64765,38,9
yes,bhavana,13.88805,15.03329,0.77222,,5
yes,teesta,248.27187,87.347,0.40892,1,25
yes,ranjith,291.63788,78.72924,0.59126,,11
yes,andy,273.14583,73.58018,0.63399,61,9
yes,manohar,286.19424,71.45664,0.70434,77,9
yes,ruben,265.80029,67.70791,0.72859,43,7
yes,bhavana,205.34541,67.04773,0.57402,,9
yes,bhojaraj,218.73475,59.18302,0.78475,,5
yes,ashley,165.62259,53.75953,0.72014,59,7
yes,martha,236.235,70.76493,0.59281,,11
yes,iqrha,241.22782,72.02319,0.58438,73,11
yes,venkana,292.49726,80.80633,0.56291,,11
yes,ranjith,179.18944,58.41437,0.65991,51,11
yes,bhojaraj,210.39177,58.03209,0.78506,,5
yes,kelvin,319.61968,71.51276,0.78537,66,5
yes,richman,241.62229,69.10452,0.63582,28,11
yes,ruben,25.52201,21.37104,0.70222,,5
yes,bhavana,213.84618,61.92829,0.7007,,9
yes,teesta,257.72217,79.04277,0.51837,,13
yes,ranjith,206.78804,63.99669,0.63448,12,9
yes,bhojaraj,322.87121,81.34637,0.61314,,11
yes,richman,261.46398,72.31497,0.6283,,13
yes,ruben,134.45407,60.28045,0.46498,,11
yes,teresa,168.78678,62.48506,0.54324,27,11
yes,bhojaraj,205.06929,59.17188,0.736,50,5
yes,ranjith,211.63998,58.19222,0.78538,,5
yes,martha,274.48139,84.17459,0.48681,78,13
yes,iqrha,209.29572,64.81202,0.62612,72,9
yes,venkana,214.97604,63.24247,0.67543,48,9
yes,ranjith,238.88919,64.95708,0.71146,45,7
yes,andy,259.98191,75.33642,0.57563,56,19
yes,kelvin,167.09621,56.71457,0.65281,11,9
yes,manohar,159.67178,55.24797,0.65736,79,5
yes,ruben,186.19686,56.09147,0.74368,13,7
yes,bhavana,316.81896,89.57433,0.4962,56,13
yes,teesta,217.21605,62.26266,0.70412,65,7
yes,ranjith,256.39508,69.74727,0.66232,,9
yes,richman,238.92864,63.55437,0.74334,,11
yes,richman,351.03615,88.95998,0.55741,,15
yes,venkana,184.38795,59.27941,0.65938,46,9
yes,teresa,234.30211,70.90579,0.58563,3,9
yes,bhojaraj,229.24448,76.95204,0.48648,46,11
yes,ashley,38.24075,24.76524,0.78352,,5
yes,richman,350.03308,77.98625,0.72324,2,7
yes,iqrha,265.70168,68.72039,0.70702,76,9
yes,venkana,279.44603,73.06551,0.65778,13,9
yes,kelvin,34.44824,23.49876,0.78395,,5
yes,ashley,285.77159,78.11515,0.58852,61,17
yes,andy,241.95195,67.2353,0.67258,45,9
yes,manohar,268.2319,73.44797,0.62483,5,9
yes,ruben,156.12157,55.18137,0.6443,27,7
yes,bhavana,193.64947,65.79982,0.56205,64,9
yes,bhojaraj,233.4371,65.87183,0.67605,,11
yes,ranjith,21.61679,19.39644,0.72203,,5
yes,richman,242.89585,71.27014,0.60092,59,13
yes,iqrha,199.65382,59.55338,0.70742,55,7
yes,venkana,121.69869,46.09173,0.71986,52,7
yes,teresa,221.13255,67.06862,0.61777,44,11
yes,andy,137.13926,52.9799,0.61397,,11
yes,ranjith,412.30533,82.83753,0.75505,,7
